ID,Form_ID,Cognateset_ID,Alignment,Source
abui1241-fuime-turtle-1-biglexstat,abui1241-fuime-turtle-1,turtle-1-0,j o u k o,biglexstat
abui1241-fuime-dry-1-biglexstat,abui1241-fuime-dry-1,dry-1-0,t a k a t a,biglexstat
abui1241-fuime-mosquito-1-biglexstat,abui1241-fuime-mosquito-1,mosquito-1-1,k u i m a -,biglexstat
abui1241-fuime-empty-1-biglexstat,abui1241-fuime-empty-1,empty-1-0,t a k a,biglexstat
abui1241-fuime-sharp-1-biglexstat,abui1241-fuime-sharp-1,sharp-1-0,b u l a,biglexstat
abui1241-fuime-right_side-1-biglexstat,abui1241-fuime-right_side-1,right_side-1-0,t e i k a ŋ,biglexstat
abui1241-fuime-red-1-biglexstat,abui1241-fuime-red-1,red-1-0,k i k a -,biglexstat
abui1241-fuime-rotten-1-biglexstat,abui1241-fuime-rotten-1,rotten-1-0,h a m u n i,biglexstat
abui1241-fuime-light_weight-1-biglexstat,abui1241-fuime-light_weight-1,light_weight-1-0,s i e r a i -,biglexstat
abui1241-fuime-bitter-1-biglexstat,abui1241-fuime-bitter-1,bitter-1-0,m a k a l i -,biglexstat
abui1241-fuime-narrow-1-biglexstat,abui1241-fuime-narrow-1,narrow-1-0,k a r i - e,biglexstat
abui1241-fuime-short-1-biglexstat,abui1241-fuime-short-1,short-1-0,b u i,biglexstat
abui1241-fuime-civet_cat-1-biglexstat,abui1241-fuime-civet_cat-1,civet_cat-1-0,a j - o,biglexstat
abui1241-fuime-blue-1-biglexstat,abui1241-fuime-blue-1,blue-1-0,w a - - l a ŋ a i,biglexstat
abui1241-fuime-spider-1-biglexstat,abui1241-fuime-spider-1,spider-1-3,b a l a + b a l a,biglexstat
abui1241-fuime-scorpion-1-biglexstat,abui1241-fuime-scorpion-1,scorpion-1-0,p e - i -,biglexstat
abui1241-fuime-ant-1-biglexstat,abui1241-fuime-ant-1,ant-1-0,f iː k a i,biglexstat
abui1241-fuime-small-1-biglexstat,abui1241-fuime-small-1,small-1-0,k - d i ŋ,biglexstat
abui1241-fuime-hot-1-biglexstat,abui1241-fuime-hot-1,hot-1-0,- - l i l a -,biglexstat
abui1241-fuime-smooth-1-biglexstat,abui1241-fuime-smooth-1,smooth-1-0,r u l - a,biglexstat
